session_id,player_id,session_start,duration_sec,platform,country
s_00000000,p_000000,2024-01-10 10:01:00,83,Android,JP
s_00000001,p_000000,2024-01-10 15:15:00,289,Android,JP
s_00000002,p_000001,2024-03-01 11:47:00,254,Android,FR
s_00000003,p_000001,2024-03-02 10:43:00,225,Android,FR
s_00000004,p_000002,2024-01-27 09:37:00,560,iOS,US
s_00000005,p_000002,2024-01-28 20:02:00,61,iOS,US
s_00000006,p_000002,2024-01-28 07:05:00,221,iOS,US
s_00000007,p_000002,2024-01-29 13:14:00,204,iOS,US
s_00000008,p_000002,2024-01-29 23:38:00,188,iOS,US
s_00000009,p_000002,2024-01-30 07:35:00,239,iOS,US
s_00000010,p_000002,2024-01-30 13:45:00,266,iOS,US
s_00000011,p_000002,2024-01-30 20:14:00,208,iOS,US
s_00000012,p_000002,2024-01-30 21:37:00,34,iOS,US
s_00000013,p_000002,2024-01-31 15:51:00,582,iOS,US
s_00000014,p_000002,2024-01-31 07:48:00,1917,iOS,US
s_00000015,p_000002,2024-02-01 12:44:00,113,iOS,US
s_00000016,p_000002,2024-02-01 20:21:00,64,iOS,US
s_00000017,p_000003,2024-01-19 15:09:00,217,Android,US
s_00000018,p_000003,2024-01-19 13:48:00,681,Android,US
s_00000019,p_000004,2024-01-04 17:06:00,463,iOS,US
s_00000020,p_000004,2024-01-04 09:24:00,192,iOS,US
s_00000021,p_000004,2024-01-04 10:22:00,243,iOS,US
s_00000022,p_000004,2024-01-04 18:38:00,226,iOS,US
s_00000023,p_000004,2024-01-04 15:51:00,1222,iOS,US
s_00000024,p_000004,2024-01-04 08:46:00,673,iOS,US
s_00000025,p_000005,2024-01-04 21:34:00,145,Android,US
s_00000026,p_000005,2024-01-04 10:59:00,151,Android,US
s_00000027,p_000005,2024-01-04 19:05:00,315,Android,US
s_00000028,p_000005,2024-01-04 16:53:00,115,Android,US
s_00000029,p_000006,2024-01-02 18:36:00,481,iOS,CA
s_00000030,p_000006,2024-01-02 13:45:00,230,iOS,CA
s_00000031,p_000006,2024-01-02 09:02:00,163,iOS,CA
s_00000032,p_000007,2024-02-10 14:49:00,61,Android,GB
s_00000033,p_000008,2024-01-19 09:54:00,157,iOS,KR
s_00000034,p_000008,2024-01-19 14:55:00,312,iOS,KR
s_00000035,p_000008,2024-01-19 10:24:00,702,iOS,KR
s_00000036,p_000008,2024-01-20 15:29:00,171,iOS,KR
s_00000037,p_000008,2024-01-20 18:10:00,1507,iOS,KR
s_00000038,p_000008,2024-01-20 18:22:00,327,iOS,KR
s_00000039,p_000008,2024-01-20 13:42:00,94,iOS,KR
s_00000040,p_000008,2024-01-21 15:44:00,269,iOS,KR
s_00000041,p_000008,2024-01-21 09:38:00,65,iOS,KR
s_00000042,p_000008,2024-01-21 12:34:00,200,iOS,KR
s_00000043,p_000009,2024-01-25 14:10:00,239,iOS,JP
s_00000044,p_000010,2024-01-01 21:24:00,348,Android,CA
s_00000045,p_000011,2024-03-11 15:59:00,1000,iOS,KR
s_00000046,p_000011,2024-03-11 14:43:00,438,iOS,KR
s_00000047,p_000011,2024-03-11 17:53:00,39,iOS,KR
s_00000048,p_000012,2024-02-05 08:14:00,216,Android,DE
s_00000049,p_000012,2024-02-05 08:51:00,85,Android,DE
s_00000050,p_000012,2024-02-05 17:25:00,135,Android,DE
s_00000051,p_000012,2024-02-05 15:04:00,303,Android,DE
s_00000052,p_000013,2024-01-05 13:58:00,68,Android,FR
s_00000053,p_000013,2024-01-05 17:13:00,266,Android,FR
s_00000054,p_000013,2024-01-05 22:25:00,382,Android,FR
s_00000055,p_000013,2024-01-05 21:09:00,337,Android,FR
s_00000056,p_000013,2024-01-05 15:08:00,627,Android,FR
s_00000057,p_000013,2024-01-05 14:47:00,264,Android,FR
s_00000058,p_000013,2024-01-05 15:47:00,1082,Android,FR
s_00000059,p_000014,2024-01-05 20:57:00,481,iOS,US
s_00000060,p_000015,2024-01-05 19:23:00,124,Android,CA
s_00000061,p_000015,2024-01-05 14:08:00,124,Android,CA
s_00000062,p_000015,2024-01-05 23:31:00,509,Android,CA
s_00000063,p_000015,2024-01-05 09:48:00,30,Android,CA
s_00000064,p_000015,2024-01-05 08:55:00,186,Android,CA
s_00000065,p_000015,2024-01-05 10:09:00,200,Android,CA
s_00000066,p_000015,2024-01-06 12:50:00,732,Android,CA
s_00000067,p_000015,2024-01-06 20:38:00,257,Android,CA
s_00000068,p_000015,2024-01-06 09:24:00,1232,Android,CA
s_00000069,p_000015,2024-01-06 19:38:00,328,Android,CA
s_00000070,p_000015,2024-01-06 21:33:00,285,Android,CA
s_00000071,p_000015,2024-01-06 15:35:00,612,Android,CA
s_00000072,p_000015,2024-01-06 07:43:00,960,Android,CA
s_00000073,p_000015,2024-01-07 10:43:00,239,Android,CA
s_00000074,p_000015,2024-01-07 15:49:00,77,Android,CA
s_00000075,p_000015,2024-01-08 17:07:00,156,Android,CA
s_00000076,p_000015,2024-01-08 16:27:00,742,Android,CA
s_00000077,p_000015,2024-01-08 12:29:00,237,Android,CA
s_00000078,p_000015,2024-01-08 07:46:00,103,Android,CA
s_00000079,p_000015,2024-01-08 15:32:00,144,Android,CA
s_00000080,p_000015,2024-01-09 12:32:00,283,Android,CA
s_00000081,p_000016,2024-01-08 10:55:00,322,iOS,DE
s_00000082,p_000017,2024-01-15 16:53:00,344,Android,BR
s_00000083,p_000017,2024-01-15 23:38:00,504,Android,BR
s_00000084,p_000017,2024-01-15 13:09:00,237,Android,BR
s_00000085,p_000017,2024-01-15 18:48:00,345,Android,BR
s_00000086,p_000017,2024-01-16 12:34:00,187,Android,BR
s_00000087,p_000017,2024-01-16 23:58:00,200,Android,BR
s_00000088,p_000017,2024-01-16 07:38:00,595,Android,BR
s_00000089,p_000017,2024-01-17 17:31:00,2154,Android,BR
s_00000090,p_000017,2024-01-17 07:07:00,1200,Android,BR
s_00000091,p_000017,2024-01-17 18:56:00,95,Android,BR
s_00000092,p_000017,2024-01-18 16:15:00,435,Android,BR
s_00000093,p_000017,2024-01-18 08:15:00,645,Android,BR
s_00000094,p_000017,2024-01-19 09:05:00,151,Android,BR
s_00000095,p_000017,2024-01-20 22:52:00,359,Android,BR
s_00000096,p_000017,2024-01-20 09:48:00,252,Android,BR
s_00000097,p_000017,2024-01-20 11:08:00,244,Android,BR
s_00000098,p_000018,2024-01-12 22:35:00,374,Android,FR
